Category,Data Point,Default Value,Unit,Recommended Source,Notes
Sauces,Mustardy Habanero Hot Sauce (tamed),$8,USD/gal,"Tangy, bright, gentle tropical heat","Habaneros (1lb, seeded), Garlic (1c), Scallions (1c), Carrot (½c), Cilantro (1c), Thyme (½c), Vinegar (4c), Water (4c), Yellow mustard (2c), Allspice (1tsp), Salt (2Tbsp)"
Sauces,Bangkok Peanut Sauce,$10,USD/gal,"Sweet, nutty, umami","Peanut butter (6c), Milk (6c), Soy sauce (2c), Brown sugar (1½c), Rice vinegar (1c), Lime juice (1c), Oil (¾c), Garlic (½c), Ginger (¼c), Chili paste (¼c), Fish sauce (1Tbsp)"
Sauces,Caribbean Jerk-Pineapple Sauce,$14,USD/gal,"Smoky-sweet, fruity, spiced glaze","Crushed pineapple (4c), Pineapple juice (2c), Brown sugar (2c), Soy sauce (1c), Vinegar (1c), Orange juice (1c), Ketchup (1c), Green onion (¾c), Thyme (½c), Garlic (½c), Habanero (2), Allspice (2Tbsp), Lime juice (¼c)"
Produce,Corn (106 oz can),6.4,USD/gal,Wholesale club or distributor,Record if using fresh corn in season
Produce,Bell peppers,1.2,USD/each,Produce vendor,Color mix may alter cost
Produce,Roma tomatoes,1.2,USD/lb,Produce vendor,Watch for winter price spikes
Produce,Red onions,2.24,USD/lb,Produce vendor,Needed for both salsa and pickles
Produce,Cilantro,0.8,USD/bunch,Produce vendor,High spoilage—validate frequently
Produce,Lime juice,0.9,USD/cup,Citrus wholesaler,Frozen vs fresh will change cost
Produce,Salt,$0.02,USD/Tbsp,Pantry staples supplier,Commodity but confirm bulk size
Operations,Commissary rent,0,USD/month,Lease agreement,Spread across active months
Operations,Insurance & licenses,300,USD/month,Insurance broker statement,Include health dept fees
Operations,Fuel & propane,350,USD/month,Fuel receipts + propane deliveries,Adjust for route distance changes
Operations,Loan or trailer payment,600,USD/month,Finance statement,Add balloon payments separately
Operations,Permits & event fees,100,USD/month,City/state fee schedule,Average across booked events
Operations,Supplies/repairs/marketing,150,USD/month,Accounting ledger,Roll in signage + digital ads
Labor,Festival staff count,3,People,Historical staffing per event,Update if adding cashier/runner
Labor,Festival service hours,8,Hours,Event schedule + teardown time,Include on-site prep buffer
Labor,Festival prep hours,2,Hours,Kitchen prep logs,Paid hours only
Labor,Festival wage,15,USD/hour,Payroll records,Check local wage hikes
Labor,Festival crew lead bonus,25,USD/event,Owner policy,Review if lead duties expand
Labor,Community staff count,2,People,Typical pop-up crew,Adjust for slow season
Labor,Community service hours,6,Hours,Service window,Include travel if paid
Labor,Community prep hours,1,Hours,Kitchen prep logs,Add if batch cooking same day
Labor,Community wage,15,USD/hour,Payroll records,Include employer payroll taxes separately
Labor,Community crew lead bonus,20,USD/event,Owner policy,Line up with responsibilities
Labor,Catering staff count,2,People,Catering history,Add server if plating on site
Labor,Catering service hours,4,Hours,Catering contract,Adjust for buffet vs boxed
Labor,Catering prep hours,1,Hours,Catering prep sheet,Capture day-before prep
Labor,Catering wage,15,USD/hour,Payroll records,Tip-out policies may offset wages
Labor,Catering crew lead bonus,15,USD/event,Owner policy,Consider delivery driver stipend
Drinks,Classic Lemonade (House Base),,2.3,USD/gal,"Water (14 c), Sugar (2 c), Lemon juice (2 c), Pinch salt (optional)"
Drinks,Mango Lemonade,,4.42,USD/gal,"Lemonade (¾ gal), Mango nectar (1 qt = 4 c), Lime juice (splash)"
Drinks,Mango Iced Tea,,2.13,USD/gal,"Black tea (8 bags), Hot water (8 c), Sugar (¾ c), Mango nectar (3 c), Cold water (9 c), Lemon juice (splash optional)"
